iso_code,year,tax_rate
DZA,2012,47
DZA,2014,40.9
ARG,2012,69.9
ARG,2014,69.7
ARM,2012,38.4
ARM,2014,44.1
AUS,2012,63.1
AUS,2014,58.4
AUT,2012,75
AUT,2014,74.9
AZE,2012,19.8
AZE,2014,17.6
BHS,2014,41.6
BGD,2012,63.8
BGD,2014,75.6
BLR,2012,41.2
BLR,2014,52.7
BEL,2012,76.4
BEL,2014,76.4
BLZ,2014,42.5
BOL,2012,40.4
BOL,2014,40.4
BIH,2012,75.2
BIH,2014,86
BRA,2012,62.6
BRA,2014,64.3
BGR,2012,86.4
BGR,2014,84
BDI,2014,41.2
KHM,2012,17.1
KHM,2014,22.2
CMR,2012,21.5
CMR,2014,17.9
CAN,2012,64.5
CAN,2014,64.5
CHL,2012,82
CHL,2014,81.6
CHN,2012,47.7
CHN,2014,47.8
COL,2012,50.9
COL,2014,49.5
COM,2014,50.8
CRI,2014,71.8
HRV,2012,70.4
HRV,2014,74.8
CYP,2012,75.8
CYP,2014,77.3
CZE,2012,80
CZE,2014,75.6
DNK,2012,78.7
DNK,2014,78.8
DOM,2012,58.3
DOM,2014,57.7
ECU,2012,64.2
ECU,2014,62.7
EGY,2012,71.5
EGY,2014,72
EST,2012,79.2
EST,2014,81.7
ETH,2014,18.7
FJI,2012,40.6
FJI,2014,44
FIN,2012,79.8
FIN,2014,81.7
FRA,2012,80
FRA,2014,80.6
GMB,2014,34.4
GEO,2012,54.9
GEO,2014,47.5
DEU,2012,74.5
DEU,2014,73.5
GHA,2012,23.1
GHA,2014,28.3
GRC,2012,83.2
GRC,2014,81.6
GTM,2012,49
GTM,2014,49
HND,2012,36.2
HND,2014,38.1
HUN,2012,84.1
HUN,2014,77.4
ISL,2012,56.9
ISL,2014,56.4
IND,2012,33.2
IND,2014,66.1
IDN,2012,35.5
IDN,2014,50.8
IRN,2012,2.7
IRN,2014,4.3
IRL,2012,78.8
IRL,2014,77.8
ISR,2014,85
ITA,2012,75.5
ITA,2014,76.1
JAM,2012,46.1
JAM,2014,42.9
JPN,2012,63.2
JPN,2014,62.9
KAZ,2012,27
KAZ,2014,39.7
KEN,2012,48.8
KEN,2014,49.3
LVA,2012,78.7
LVA,2014,77.3
LBN,2012,44.4
LBN,2014,48.3
LBR,2014,17.2
LTU,2012,75.8
LTU,2014,77.6
LUX,2012,71.1
LUX,2014,70.7
MYS,2012,58.4
MYS,2014,59.8
MLI,2014,38.1
MEX,2012,66.5
MEX,2014,65.8
MDA,2012,44.6
MDA,2014,51.6
MNG,2012,0
MNG,2014,44.2
MAR,2012,68
MAR,2014,68.4
NPL,2012,32.9
NPL,2014,46.6
NLD,2012,73.1
NLD,2014,74.8
NZL,2012,73.3
NZL,2014,75
NIC,2012,30.5
NGA,2012,21.7
MKD,2012,70.8
MKD,2014,69.8
NOR,2012,72.8
NOR,2014,67.2
OMN,2012,22.1
OMN,2014,22.1
PAK,2012,61.6
PAK,2014,60.7
PAN,2012,56.5
PAN,2014,56.5
PER,2012,44.9
PER,2014,39.5
PHL,2012,34.2
PHL,2014,53
POL,2012,79.7
POL,2014,82.6
PRT,2012,76.3
PRT,2014,79.6
ROU,2012,75.3
ROU,2014,77.3
RUS,2012,45
RUS,2014,50.5
RWA,2014,24.1
KNA,2012,19.9
WSM,2012,59.5
SAU,2012,22.9
SEN,2012,29
SEN,2014,37.9
SRB,2012,75.4
SRB,2014,73.8
SLE,2014,19.7
SGP,2012,70.4
SGP,2014,73.8
SVK,2012,83.1
SVK,2014,84.6
SVN,2012,78.4
SVN,2014,79.4
ZAF,2012,47.6
ZAF,2014,48.1
KOR,2012,65.3
KOR,2014,60.3
ESP,2012,79.2
ESP,2014,78.8
LKA,2012,74.2
LKA,2014,73.5
SWE,2012,73.8
SWE,2014,68.8
CHE,2012,63.6
CHE,2014,61.9
THA,2012,68.7
THA,2014,70.2
TON,2012,64.3
TUN,2012,84.5
TUN,2014,78.1
TUR,2012,80.3
TUR,2014,82.2
UGA,2012,44.2
UGA,2014,40.2
UKR,2012,59.7
UKR,2014,62.4
ARE,2012,24.5
ARE,2014,21.1
GBR,2012,76.1
GBR,2014,81.3
USA,2012,42.9
USA,2014,42.9
URY,2012,69
URY,2014,65.6
UZB,2012,32.7
UZB,2014,31.1
VEN,2012,71
VNM,2012,41.6
VNM,2014,41.6
YEM,2012,52.9
YEM,2014,53.7
ZMB,2012,25.8
ZMB,2014,21.3
ZWE,2012,57.6
ZWE,2014,59.8
